search,Search™
logout,Logout
key,Key
systemID,System ID
endOfDataSet,End of data set
enter,Enter {0}
ID,ID Number
postalCode,Postal/ZIP Code
invalidEmail,Invalid email address.
dateInFuture,Date entered lies in the future.
wildcardSearch,Search by wildcards is not permitted.
wildcardSearchMsg,Search by wildcards is not permitted. Enter an exact value instead.
loadingData,Loading data ...
system,System
field,Field
annotation,Annotation
enterPasswordMsg,Enter password
reenterPasswordMsg,Confirm password:
passwordMustNotBeEmptyMsg,Password must not be empty. Min. 8 characters required.
passwordEmptyMsg,Password empty. Min. 8 characters required.
passwordTooShortMsg,Password too short. Min. 8 characters required.
mismatchingPasswordsMsg,Mismatching passwords.
noDataAvailable,No data available
submissionSuccessful,Submission Successful
submissionUnsuccessful,Submission Unsuccessful
ok,OK
companyName,Company Name
companyAddressAndPhone,Company Address and Phone
online,Online
firstAddressLine,First Address Line
secondAddressLine,Second Address Line
streetAddress,Street Address
city,City
country,Country
phone,Phone
email,Email
website,Website
logoFilePath,Logo Filepath
additionalMessage,Additional Message
additionalMessagePlaceholder,"Additional Message (optional, max. 255 characters)"
supplementaryInfo,Supplementary Information
supplementaryInfoPlaceholder,"Supplementary Information (optional, max. 10,000 characters)"
refresh,Refresh
cancel,Cancel
submit,Submit
logoutSuccessfulTitle,Logout Successful
logoutErrorTitle,Logout Error
logoutMsg,You have been successfully logged out.\nLog back in if you wish to continue searching the application.
notFoundTitle,Not Found
notFoundText,The requested resource was not found
backToOverview,Return to main search page
